task,input,output,possible_outputs
antonyms,wholly,partly,
antonyms,regular,irregular,
antonyms,mother,father,
antonyms,separate,joint,
antonyms,decisive,indecisive,
antonyms,identifiable,unidentifiable,
antonyms,particularity,generality,
antonyms,husband,wife,
antonyms,improvement,decline,
antonyms,wake,sleep,
antonyms,saturated,unsaturated,
antonyms,unfaithful,faithful,
antonyms,unambiguously,ambiguously,
antonyms,invisible,visible,
antonyms,inaccessibility,accessibility,
antonyms,tangible,intangible,
antonyms,unfixed,fixed,
antonyms,unsuitably,suitably,
antonyms,loosen,stiffen,
antonyms,exogenous,endogenous,
antonyms,thermal,nonthermal,
antonyms,imperceptibly,perceptibly,
antonyms,refined,unrefined,
antonyms,unsystematic,systematic,
antonyms,offence,defence,
antonyms,cheerful,depressing,
antonyms,untrustworthy,trustworthy,
antonyms,agreeable,disagreeable,
antonyms,likely,unlikely,
antonyms,continual,sporadic,
antonyms,smokeless,smoky,
antonyms,assemble,disassemble,
antonyms,veiled,unveiled,
antonyms,weakening,strengthening,
antonyms,industrial,nonindustrial,
antonyms,tender,tough,
antonyms,disparage,flatter,
antonyms,indispensable,dispensable,
antonyms,noninfectious,infectious,
antonyms,steadily,unsteadily,
antonyms,unemployment,employment,
antonyms,shorten,lengthen,
antonyms,epidemic,endemic,
antonyms,good,bad,
antonyms,goodness,badness,
antonyms,purge,rehabilitate,
antonyms,northern,southern,
antonyms,hide,show,
antonyms,descend,ascend,
antonyms,well,ill,
antonyms,unlikelihood,likelihood,
antonyms,adequacy,inadequacy,
antonyms,crossed,uncrossed,
antonyms,reasonably,unreasonably,
antonyms,capitalism,socialism,
antonyms,possibility,impossibility,
antonyms,tractable,intractable,
antonyms,immortality,mortality,
antonyms,unfriendly,friendly,
antonyms,unofficial,official,
antonyms,mechanical,nonmechanical,
antonyms,compatible,incompatible,
antonyms,docile,stubborn,
antonyms,continuous,discontinuous,
antonyms,flatten,sharpen,
antonyms,morality,immorality,
antonyms,colorless,colorful,
antonyms,invulnerability,vulnerability,
antonyms,ripe,green,
antonyms,equilibrium,disequilibrium,
antonyms,incontinent,continent,
antonyms,inexperienced,experienced,
antonyms,disorganize,organize,
antonyms,united,divided,
antonyms,unashamed,ashamed,
antonyms,undemocratic,democratic,
antonyms,affirmative,negative,
antonyms,fairly,unfairly,
antonyms,honest,dishonest,
antonyms,maturity,immaturity,
antonyms,compliance,noncompliance,
antonyms,fewest,most,
antonyms,imprecisely,precisely,
antonyms,segregation,integration,
antonyms,tide,ebb,
diff,42 2,40,
diff,181 86,95,
diff,73 22,51,
diff,109 45,64,
diff,117 20,97,
diff,196 98,98,
diff,84 19,65,
diff,39 9,30,
diff,169 76,93,
diff,125 39,86,
diff,126 62,64,
diff,74 23,51,
diff,50 24,26,
diff,82 33,49,
diff,101 11,90,
diff,105 38,67,
diff,82 11,71,
diff,97 46,51,
diff,102 26,76,
diff,169 74,95,
diff,51 1,50,
diff,117 21,96,
diff,124 54,70,
diff,63 10,53,
diff,180 87,93,
diff,153 64,89,
diff,103 6,97,
diff,62 22,40,
diff,80 7,73,
diff,170 85,85,
diff,188 93,95,
diff,151 73,78,
diff,137 52,85,
diff,147 51,96,
diff,77 14,63,
diff,92 33,59,
diff,14 3,11,
diff,179 88,91,
diff,101 33,68,
diff,104 36,68,
diff,162 81,81,
diff,70 5,65,
diff,34 15,19,
diff,74 36,38,
diff,148 51,97,
diff,132 34,98,
diff,77 32,45,
diff,93 20,73,
diff,102 11,91,
diff,108 46,62,
diff,85 12,73,
diff,101 2,99,
diff,36 9,27,
diff,96 3,93,
diff,129 31,98,
diff,158 60,98,
diff,140 64,76,
diff,127 52,75,
diff,107 36,71,
diff,86 0,86,
diff,88 32,56,
diff,39 2,37,
diff,94 25,69,
diff,59 21,38,
diff,68 19,49,
diff,133 66,67,
diff,97 4,93,
diff,79 7,72,
diff,46 10,36,
diff,80 19,61,
diff,122 30,92,
diff,81 0,81,
diff,107 42,65,
diff,76 34,42,
diff,153 61,92,
diff,101 43,58,
diff,100 42,58,
diff,113 27,86,
diff,72 8,64,
diff,71 3,68,
diff,113 45,68,
diff,181 85,96,
diff,116 42,74,
diff,67 5,62,
diff,185 89,96,
diff,105 26,79,
diff,25 11,14,
diff,122 23,99,
diff,90 6,84,
diff,8 0,8,
diff,111 52,59,
diff,76 1,75,
diff,111 12,99,
diff,20 5,15,
diff,61 2,59,
diff,196 97,99,
diff,99 17,82,
diff,96 36,60,
diff,62 11,51,
diff,58 13,45,
diff,135 64,71,
diff,23 0,23,
diff,15 3,12,
diff,61 20,41,
diff,58 1,57,
diff,42 4,38,
diff,105 6,99,
diff,108 11,97,
diff,151 71,80,
diff,145 66,79,
diff,155 63,92,
diff,92 29,63,
diff,135 54,81,
diff,98 15,83,
diff,75 28,47,
diff,74 6,68,
diff,166 69,97,
diff,123 32,91,
diff,137 45,92,
diff,100 16,84,
diff,61 24,37,
diff,108 9,99,
diff,119 47,72,
diff,96 48,48,
diff,4 1,3,
diff,144 61,83,
diff,64 15,49,
diff,162 71,91,
diff,116 24,92,
diff,38 7,31,
diff,63 28,35,
diff,45 6,39,
diff,118 49,69,
diff,68 31,37,
diff,87 1,86,
diff,100 5,95,
diff,79 26,53,
diff,153 55,98,
diff,93 2,91,
diff,155 61,94,
diff,38 4,34,
diff,40 7,33,
diff,106 41,65,
diff,116 32,84,
diff,77 34,43,
diff,65 18,47,
diff,124 38,86,
diff,147 58,89,
diff,45 18,27,
diff,126 60,66,
diff,103 47,56,
diff,156 59,97,
diff,167 68,99,
diff,25 8,17,
diff,33 0,33,
diff,129 58,71,
diff,161 69,92,
diff,56 17,39,
diff,142 64,78,
diff,107 28,79,
diff,126 55,71,
diff,163 72,91,
diff,38 13,25,
diff,73 32,41,
diff,28 12,16,
diff,75 5,70,
diff,104 28,76,
diff,174 79,95,
diff,42 20,22,
diff,109 46,63,
diff,142 48,94,
diff,134 58,76,
diff,113 41,72,
diff,104 51,53,
diff,156 73,83,
diff,139 62,77,
diff,40 2,38,
diff,107 19,88,
diff,106 16,90,
diff,134 48,86,
diff,80 16,64,
diff,136 54,82,
diff,37 5,32,
diff,144 56,88,
diff,47 13,34,
diff,97 29,68,
diff,82 8,74,
diff,96 14,82,
diff,91 7,84,
diff,146 60,86,
diff,63 29,34,
diff,41 5,36,
diff,93 5,88,
diff,85 18,67,
diff,18 9,9,
diff,65 1,64,
diff,65 25,40,
diff,125 60,65,
diff,68 17,51,
diff,112 46,66,
first_word_letter,version,v,
first_word_letter,drug,d,
first_word_letter,communication,c,
first_word_letter,tale,t,
first_word_letter,car,c,
first_word_letter,measurement,m,
first_word_letter,presidency,p,
first_word_letter,punishment,p,
first_word_letter,customer,c,
first_word_letter,creation,c,
first_word_letter,witness,w,
first_word_letter,analysis,a,
first_word_letter,telegram,t,
first_word_letter,pitch,p,
first_word_letter,club,c,
first_word_letter,definition,d,
first_word_letter,escort,e,
first_word_letter,sparrow,s,
first_word_letter,cloverleaf,c,
first_word_letter,institution,i,
first_word_letter,municipal,m,
first_word_letter,proof,p,
first_word_letter,pneumonia,p,
first_word_letter,foliage,f,
first_word_letter,sensory,s,
first_word_letter,crash,c,
first_word_letter,dental,d,
first_word_letter,mascot,m,
first_word_letter,house,h,
first_word_letter,mix,m,
first_word_letter,reversal,r,
first_word_letter,drama,d,
first_word_letter,cut,c,
first_word_letter,port,p,
first_word_letter,physician,p,
first_word_letter,genre,g,
first_word_letter,opera,o,
first_word_letter,width,w,
first_word_letter,elevation,e,
first_word_letter,cocaine,c,
first_word_letter,traffic,t,
first_word_letter,camouflage,c,
first_word_letter,relationship,r,
first_word_letter,locality,l,
first_word_letter,superstructure,s,
first_word_letter,ruler,r,
first_word_letter,dive,d,
first_word_letter,advancement,a,
first_word_letter,cancel,c,
first_word_letter,band,b,
first_word_letter,relay,r,
first_word_letter,coordinator,c,
first_word_letter,staging,s,
first_word_letter,dedication,d,
first_word_letter,recall,r,
first_word_letter,copper,c,
first_word_letter,fission,f,
first_word_letter,forehead,f,
first_word_letter,pamphlet,p,
first_word_letter,sport,s,
first_word_letter,grenade,g,
first_word_letter,algorithm,a,
first_word_letter,pounder,p,
first_word_letter,philosophy,p,
first_word_letter,director,d,
first_word_letter,treat,t,
first_word_letter,operation,o,
first_word_letter,letter,l,
first_word_letter,interference,i,
first_word_letter,coat,c,
first_word_letter,slope,s,
first_word_letter,southeast,s,
first_word_letter,keyboard,k,
first_word_letter,acquaintance,a,
first_word_letter,manipulation,m,
first_word_letter,masterpiece,m,
first_word_letter,capsule,c,
first_word_letter,upbringing,u,
first_word_letter,rival,r,
first_word_letter,distribution,d,
first_word_letter,habitat,h,
first_word_letter,business,b,
first_word_letter,minute,m,
first_word_letter,landing,l,
first_word_letter,bus,b,
first_word_letter,perimeter,p,
first_word_letter,pitcher,p,
first_word_letter,council,c,
first_word_letter,seed,s,
first_word_letter,recruiting,r,
first_word_letter,fault,f,
first_word_letter,amusement,a,
first_word_letter,gallery,g,
first_word_letter,household,h,
first_word_letter,routing,r,
first_word_letter,cry,c,
first_word_letter,submission,s,
first_word_letter,roof,r,
first_word_letter,air,a,
first_word_letter,eruption,e,
first_word_letter,teenager,t,
first_word_letter,century,c,
first_word_letter,nesting,n,
first_word_letter,decision,d,
first_word_letter,legacy,l,
first_word_letter,constitution,c,
first_word_letter,contrast,c,
first_word_letter,cleaning,c,
first_word_letter,combat,c,
first_word_letter,volunteer,v,
first_word_letter,rule,r,
first_word_letter,award,a,
first_word_letter,belief,b,
first_word_letter,location,l,
first_word_letter,handing,h,
first_word_letter,knee,k,
first_word_letter,campaign,c,
first_word_letter,observation,o,
first_word_letter,seat,s,
first_word_letter,ship,s,
first_word_letter,object,o,
first_word_letter,trophy,t,
first_word_letter,diplomat,d,
first_word_letter,act,a,
first_word_letter,awarding,a,
first_word_letter,subscription,s,
first_word_letter,entity,e,
first_word_letter,underside,u,
first_word_letter,nation,n,
first_word_letter,afternoon,a,
first_word_letter,mistake,m,
first_word_letter,marijuana,m,
first_word_letter,validity,v,
first_word_letter,separation,s,
first_word_letter,talk,t,
first_word_letter,class,c,
first_word_letter,boycott,b,
first_word_letter,successor,s,
first_word_letter,spear,s,
first_word_letter,surgery,s,
first_word_letter,rehearsal,r,
first_word_letter,journalism,j,
first_word_letter,streak,s,
first_word_letter,organ,o,
first_word_letter,socialism,s,
first_word_letter,storyline,s,
first_word_letter,testimony,t,
first_word_letter,rehabilitation,r,
first_word_letter,irony,i,
first_word_letter,combine,c,
first_word_letter,outlet,o,
first_word_letter,extinction,e,
first_word_letter,stretch,s,
first_word_letter,tenor,t,
first_word_letter,forum,f,
first_word_letter,eye,e,
first_word_letter,wreckage,w,
first_word_letter,creature,c,
first_word_letter,shopping,s,
first_word_letter,severity,s,
first_word_letter,brief,b,
first_word_letter,masonry,m,
first_word_letter,pottery,p,
first_word_letter,repertoire,r,
first_word_letter,planet,p,
first_word_letter,burn,b,
first_word_letter,helium,h,
first_word_letter,phrase,p,
first_word_letter,shark,s,
first_word_letter,policy,p,
first_word_letter,variety,v,
first_word_letter,patronage,p,
first_word_letter,draft,d,
first_word_letter,climb,c,
first_word_letter,revolt,r,
first_word_letter,originality,o,
first_word_letter,canal,c,
first_word_letter,name,n,
first_word_letter,center,c,
first_word_letter,pumping,p,
first_word_letter,constellation,c,
first_word_letter,recording,r,
first_word_letter,future,f,
first_word_letter,warehouse,w,
first_word_letter,resort,r,
first_word_letter,grade,g,
first_word_letter,solar,s,
first_word_letter,inch,i,
first_word_letter,bowl,b,
first_word_letter,reach,r,
first_word_letter,handling,h,
first_word_letter,speech,s,
first_word_letter,banking,b,
first_word_letter,continuity,c,
first_word_letter,sect,s,
first_word_letter,operator,o,
first_word_letter,concern,c,
first_word_letter,regulation,r,
first_word_letter,edge,e,
first_word_letter,targeting,t,
